target_id	length	eff_length	est_counts	tpm
ENST00000632585.1	408	159	1	0.178031
ENST00000632205.1	532	283	1	0.100024
ENST00000632891.1	380	131.001	0	0
ENST00000633250.1	445	196	0	0
ENST00000631614.2	398	149	0	0
ENST00000633273.1	409	160	0	0
ENST00000632088.2	392	143	1	0.19795
ENST00000632502.1	398	149	0	0
ENST00000632887.1	442	193	1.16611	0.171031
ENST00000632011.1	378	129.001	0	0
ENST00000632229.1	378	129.001	0.5	0.109716
ENST00000632822.1	400	151	1.83389	0.343787
ENST00000631699.1	406	157	0.5	0.0901493
ENST00000633851.1	390	141	0	0
ENST00000631531.1	382	133.001	0	0
ENST00000633682.1	390	141	0.5	0.100379
ENST00000632910.1	390	141	0	0
ENST00000634204.1	324	75.5516	0	0
ENST00000632835.1	382	133.001	0.353429	0.0752211
ENST00000632103.1	398	149	0	0
ENST00000631411.1	398	149	0	0
ENST00000632811.1	312	64.392	0	0
ENST00000632384.1	314	66.2053	0	0
ENST00000622028.1	353	104.031	0	0
ENST00000634015.1	473	224	0	0
ENST00000633833.1	402	153	0	0
ENST00000632076.1	415	166	0	0
ENST00000633490.1	413	164	0	0
ENST00000632333.1	353	104.031	0	0
ENST00000632151.1	391	142	0	0
ENST00000632977.1	395	146	0	0
ENST00000612474.2	402	153	0	0
ENST00000633618.1	427	178	0	0
ENST00000631807.1	420	171	6	0.993224
ENST00000632980.1	432	183	0	0
ENST00000631826.1	411	162	0	0
ENST00000632719.1	425	176	0	0
ENST00000633426.1	571	322	0	0
ENST00000631755.1	425	176	0	0
ENST00000631975.1	430	181	0	0
ENST00000633147.1	412	163	0	0
ENST00000631869.1	353	104.031	0	0
ENST00000633752.1	353	104.031	0	0
ENST00000631710.1	433	184	0	0
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	0	0
ENST00000620764.2	412	163	0	0
ENST00000633988.1	432	183	0	0
ENST00000632457.1	382	133.001	0	0
ENST00000619078.2	495	246	4	0.460275
ENST00000632173.1	434	185	0	0
ENST00000633040.1	435	186	7.84955e-05	1.1946e-05
ENST00000632846.1	429	180	0	0
ENST00000633602.1	439	190	0	0
ENST00000614315.1	303	56.5345	0	0
ENST00000632296.1	432	183	0	0
ENST00000633446.1	411	162	0.168032	0.0293609
ENST00000632614.1	414	165	0	0
ENST00000560724.3	378	129.001	0	0
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0	0
ENST00000631708.1	439	190	0	0
ENST00000632960.1	457	208	0	0
ENST00000633987.1	589	340	0.000105439	8.77835e-06
ENST00000632005.1	434	185	0	0
ENST00000633570.1	349	100.049	0	0
ENST00000615784.2	353	104.031	0.5	0.13605
ENST00000633400.1	431	182	0	0
ENST00000631379.1	417	168	0	0
ENST00000632882.1	414	165	0	0
ENST00000632211.1	439	190	0	0
ENST00000632105.1	657	408	0.0001602	1.11146e-05
ENST00000632630.1	432	183	0	0
ENST00000633299.1	417	168	0	0
ENST00000633350.1	417	168	0	0
ENST00000390282.2	419	170	0	0
ENST00000390287.2	365	116.007	0	0
ENST00000390283.2	414	165	0	0
ENST00000390284.2	362	113.011	0	0
ENST00000390285.4	353	104.031	0	0
ENST00000390286.3	381	132.001	0	0
ENST00000390289.2	379	130.001	22	4.79036
ENST00000390290.3	389	140	3	0.606575
ENST00000390291.2	405	156	0	0
ENST00000427632.2	409	160	0	0
ENST00000390293.1	369	120.004	0	0
ENST00000390294.2	407	158	0	0
ENST00000390295.3	385	136	0	0
ENST00000390296.2	397	148	0.5	0.0956314
ENST00000390297.3	467	218	6	0.779089
ENST00000390298.2	385	136	0	0
ENST00000390299.2	407	158	0	0
ENST00000390300.2	374	125.002	0	0
ENST00000390301.3	393	144	0	0
ENST00000390302.3	412	163	0	0
ENST00000390303.3	383	134.001	0	0
ENST00000390304.2	377	128.001	0	0
ENST00000390305.2	380	131.001	0	0
ENST00000390306.2	502	253	1.22798	0.137393
ENST00000390307.2	409	160	0	0
ENST00000390308.2	602	353	3	0.240569
ENST00000390309.2	377	128.001	1	0.221145
ENST00000390310.3	367	118.006	0	0
ENST00000390311.3	385	136	0	0
ENST00000390312.2	402	153	5.77202	1.06789
ENST00000390315.3	382	133.001	0	0
ENST00000390316.2	461	212	0	0
ENST00000620395.2	517	268	0	0
ENST00000390318.2	403	154	0	0
ENST00000390319.2	398	149	1	0.189979
ENST00000390313.3	356	107.022	0	0
ENST00000390314.2	400	151	0	0
ENST00000604066.1	353	104.031	0	0
ENST00000557788.2	353	104.031	0	0
ENST00000630556.1	353	104.031	0	0
ENST00000622410.2	353	104.031	0	0
ENST00000610349.2	407	158	0	0
ENST00000628287.1	466	217	0	0
ENST00000627634.1	383	134.001	0	0
ENST00000628968.1	374	125.002	0	0
ENST00000618644.2	385	136	0	0
ENST00000618026.2	393	144	0	0
ENST00000630493.1	369	120.004	0	0
ENST00000629472.1	412	163	0	0
ENST00000626489.1	397	148	0.5	0.0956314
ENST00000354689.6	294	49.2782	0	0
ENST00000567458.2	358	109.017	0	0
ENST00000425181.3	350	101.044	0	0
ENST00000565407.2	349	100.049	0	0
ENST00000570121.2	353	104.031	0	0
ENST00000562905.2	353	104.031	0	0
ENST00000628219.1	534	285	0	0
ENST00000627132.1	384	135.001	0	0
ENST00000626108.1	353	104.031	1	0.2721
ENST00000338912.5	353	104.031	0	0
