target_id	length	eff_length	est_counts	tpm
ENST00000632585.1	408	159	68	13.4226
ENST00000632205.1	532	283	4828.33	535.47
ENST00000632891.1	380	131.001	305.738	73.2486
ENST00000633250.1	445	196	33.6414	5.38695
ENST00000631614.2	398	149	37.5287	7.90499
ENST00000633273.1	409	160	626.673	122.926
ENST00000632088.2	392	143	2330.05	511.392
ENST00000632502.1	398	149	354.35	74.6398
ENST00000632887.1	442	193	2065.18	335.835
ENST00000632011.1	378	129.001	199.079	48.4346
ENST00000632229.1	378	129.001	785.747	191.167
ENST00000632822.1	400	151	4824.22	1002.71
ENST00000631699.1	406	157	251.201	50.2164
ENST00000633851.1	390	141	270.373	60.1822
ENST00000631531.1	382	133.001	271.255	64.0102
ENST00000633682.1	390	141	0.172384	0.0383708
ENST00000632910.1	390	141	307.783	68.5093
ENST00000634204.1	324	75.5516	133.339	55.391
ENST00000632835.1	382	133.001	62.2877	14.6985
ENST00000632103.1	398	149	18.3179	3.85846
ENST00000631411.1	398	149	238.113	50.1557
ENST00000632811.1	312	64.392	30.6712	14.9494
ENST00000632384.1	314	66.2053	0	0
ENST00000622028.1	353	104.031	0	0
ENST00000634015.1	473	224	348.409	48.8165
ENST00000633833.1	402	153	230.808	47.346
ENST00000632076.1	415	166	383.482	72.5039
ENST00000633490.1	413	164	370.816	70.9643
ENST00000632333.1	353	104.031	46.2344	13.9485
ENST00000632151.1	391	142	8.15154	1.80167
ENST00000632977.1	395	146	896.507	192.719
ENST00000612474.2	402	153	1983.14	406.804
ENST00000633618.1	427	178	1873.47	330.333
ENST00000631807.1	420	171	2638.06	484.187
ENST00000632980.1	432	183	2417.73	414.651
ENST00000631826.1	411	162	7.51776	1.45646
ENST00000632719.1	425	176	34.502	6.15257
ENST00000633426.1	571	322	839.423	81.8182
ENST00000631755.1	425	176	3.51648	0.627076
ENST00000631975.1	430	181	36.3614	6.30503
ENST00000633147.1	412	163	1775.11	341.793
ENST00000631869.1	353	104.031	539.414	162.736
ENST00000633752.1	353	104.031	107.456	32.4183
ENST00000631710.1	433	184	92.0005	15.6927
ENST00000632225.1	368	119.005	28	7.38445
ENST00000632959.1	439	190	652.702	107.817
ENST00000620764.2	412	163	1071.73	206.358
ENST00000633988.1	432	183	2125.16	364.472
ENST00000632457.1	382	133.001	256.752	60.5877
ENST00000619078.2	495	246	1248.12	159.237
ENST00000632173.1	434	185	55.1252	9.35196
ENST00000633040.1	435	186	244.806	41.3079
ENST00000632846.1	429	180	13.8465	2.41431
ENST00000633602.1	439	190	65.0155	10.7396
ENST00000614315.1	303	56.5345	31.235	17.3401
ENST00000632296.1	432	183	89.8944	15.4172
ENST00000633446.1	411	162	789.043	152.866
ENST00000632614.1	414	165	93.5635	17.797
ENST00000560724.3	378	129.001	199.667	48.5776
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0.00301947	0.000532396
ENST00000631708.1	439	190	189.874	31.3643
ENST00000632960.1	457	208	90.6992	13.6856
ENST00000633987.1	589	340	2780.57	256.672
ENST00000632005.1	434	185	85.4811	14.5018
ENST00000633570.1	349	100.049	628.186	197.061
ENST00000615784.2	353	104.031	0	0
ENST00000633400.1	431	182	416.141	71.7619
ENST00000631379.1	417	168	436.763	81.5946
ENST00000632882.1	414	165	145.48	27.6722
ENST00000632211.1	439	190	314.608	51.9685
ENST00000632105.1	657	408	1122.16	86.3216
ENST00000632630.1	432	183	1892	324.485
ENST00000633299.1	417	168	858.692	160.418
ENST00000633350.1	417	168	296.656	55.4203
ENST00000390282.2	419	170	152.456	28.1462
ENST00000390287.2	365	116.007	1156	312.75
ENST00000390283.2	414	165	430	81.7917
ENST00000390284.2	362	113.011	69	19.1626
ENST00000390285.4	353	104.031	390	117.659
ENST00000390286.3	381	132.001	0	0
ENST00000390289.2	379	130.001	43	10.3812
ENST00000390290.3	389	140	2579.68	578.311
ENST00000390291.2	405	156	6.40517	1.28864
ENST00000427632.2	409	160	163	31.9737
ENST00000390293.1	369	120.004	1.01841	0.266348
ENST00000390294.2	407	158	715.765	142.18
